Id,Label,그룹,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,eigencentrality,원문,번역,
D06M2101,D06M2101,,,36,14210.20021,7,0.304199,0.327886,0.001452,23,0.428571,255,0.050553,,,
D06M23,D06M23,,,32,5803.360672,7,0.313229,0.335887,0.001922,23,0.419355,195,0.047967,,,
D06N3,D06N3,,,34,66972.8158,6,0.312551,0.336305,0.00054,23,0.541667,286,0.066251,,,
G02F1,G02F1,,,121,187834.5728,7,0.396806,0.439032,0.016654,19,0.2,1428,0.578374,"Devices or arrangements for the control of the intensity, colour, phase, polarisation or direction of light arriving from an independent light source, e.g. switching, gating or modulating; Non-linear optics","독립된 광원으로부터 도달한 광의 강도, 색, 위상, 편광 또는 방향의 제어를 위한 장치 또는 배치, 예. 스위칭, 게이팅 또는 변조 ; 비선형 광학",
G02F2201,G02F2201,,,39,14719.98836,7,0.355047,0.385967,0.001001,19,0.465149,327,0.229633,,,
G02F2202,G02F2202,,,59,21075.63223,7,0.356746,0.389601,0.001779,19,0.340593,563,0.325912,,,
H01B1,H01B1,,,74,18204.83168,7,0.371424,0.407271,0.004199,19,0.249619,656,0.332728,,,
H01Q1,H01Q1,,,66,58362.93266,7,0.353418,0.390373,0.009474,19,0.224038,466,0.220317,,,
H01Q9,H01Q9,,,49,19496.77416,7,0.340504,0.373115,0.003394,19,0.302305,341,0.173124,,,
H05K1,H05K1,1,,174,223415.9301,6,0.397284,0.449084,0.022752,19,0.124815,1857,0.671418,Printed circuits,"인쇄회로
","인쇄회로


"
H05K3,H05K3,,,114,126379.0698,7,0.381668,0.424925,0.007968,19,0.17304,1095,0.494133,Apparatus or processes for manufacturing printed circuits,"인쇄회로를 제조하기 위한 장치 또는 방법
",
A41D13,A41D13,,,28,15050.4383,7,0.329109,0.353059,0.001528,8,0.447293,157,0.07196,,,
A41D2500,A41D2500,,,5,1041.889153,8,0.247696,0.257468,0,8,1,6,0.003104,,,
A61B2017,A61B2017,,,69,69649.88707,7,0.34472,0.379454,0.007076,20,0.23705,540,0.184371,,,
A61B2034,A61B2034,,,54,65764.77708,7,0.337077,0.368947,0.001417,26,0.395501,545,0.195725,,,
A61B6,A61B6,,,82,166322.3722,7,0.348988,0.386681,0.005046,26,0.256173,830,0.262857,,,
A61F2007,A61F2007,,,31,28841.4762,8,0.331184,0.356988,0.001864,8,0.464368,202,0.113144,,,
A61F7,A61F7,,,31,15450.92751,8,0.331184,0.356988,0.001864,8,0.464368,202,0.113144,,,
A61M16,A61M16,,,19,59973.49118,7,0.296206,0.31497,0.000349,8,0.607843,93,0.028205,,,
A61M2202,A61M2202,,,18,8826.33284,7,0.30052,0.319203,0.000544,8,0.647059,88,0.026644,,,
A61N2005,A61N2005,,,21,15702.05235,7,0.320349,0.344354,0.000576,26,0.594737,113,0.073659,,,
A61N5,A61N5,,,27,23886.6471,7,0.332422,0.360494,0.001316,26,0.458462,149,0.124287,,,
A62B18,A62B18,,,15,14226.58057,7,0.293946,0.311638,0.000117,8,0.879121,80,0.0228,,,
A62B23,A62B23,,,15,6643.960602,7,0.293946,0.311638,0.000117,8,0.879121,80,0.0228,,,
A62B7,A62B7,,,14,4822.00296,7,0.293908,0.311422,0,8,0.987179,77,0.022546,,,
B01D2239,B01D2239,,,20,19761.761,7,0.299469,0.319521,0.00061,8,0.619883,106,0.028735,,,
B01D39,B01D39,,,32,8138.334602,7,0.304199,0.327547,0.001358,15,0.488172,227,0.04586,,,
B82Y30,B82Y30,,,92,18195.82829,6,0.375467,0.41288,0.02097,8,0.171673,703,0.311927,,,
C01B2202,C01B2202,,,25,9213.137169,7,0.320349,0.344073,0.00055,8,0.463768,128,0.063102,,,
