search URL:,https://patents.google.com/?q=polyethyleneterephthalate&country=US&before=priority:20190131&after=priority:20190101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021329371-A1,Speaker device ,"Shenzhen Voxtech Co., Ltd.","ChaoWu Li, Zhuyang JIANG, Fen You",2019-01-05,2021-07-01,2021-10-21,,https://patents.google.com/patent/US20210329371A1/en,https://patentimages.storage.googleapis.com/a7/c6/50/a3cd0592c98eb1/US20210329371A1-20211021-D00000.png
US-2021168484-A1,Loudspeaker apparatus ,"Shenzhen Voxtech Co., Ltd.","Yongjian LI, Haofeng Zhang, Fen You",2019-01-05,2021-02-08,2021-06-03,,https://patents.google.com/patent/US20210168484A1/en,https://patentimages.storage.googleapis.com/68/0e/61/1aeba0ee7a7948/US20210168484A1-20210603-D00000.png
US-2020225534-A1,"Display substrate and fabricating method thereof, and display panel ","Hefei Boe Optoelectronics Technology Co., Ltd., Boe Technology Group Co., Ltd.","Xufei Xu, Na Zhao, Gangqi HUANG, Chuanyan Wang, Gaofei Shi, Qiyu Shen",2019-01-14,2019-06-28,2020-07-16,,https://patents.google.com/patent/US20200225534A1/en,https://patentimages.storage.googleapis.com/b1/50/84/8b4c79fb306f2c/US20200225534A1-20200716-D00000.png
US-2021127193-A1,Loudspeaker apparatus ,"Shenzhen Voxtech Co., Ltd.","ChaoWu Li, Yongjian LI",2019-01-05,2020-12-31,2021-04-29,,https://patents.google.com/patent/US20210127193A1/en,https://patentimages.storage.googleapis.com/ac/8c/02/fe3d8c2ecfb7b6/US20210127193A1-20210429-D00000.png
US-2020216065-A1,Movable carrier auxiliary system ,"Ability Opto-Electronics Technology Co., Ltd.","Yeong-Ming Chang, Chien-Hsun Lai, Yao-Wei Liu",2019-01-07,2019-07-10,2020-07-09,,https://patents.google.com/patent/US20200216065A1/en,https://patentimages.storage.googleapis.com/4e/fe/f5/c379bfbddf9a98/US20200216065A1-20200709-D00000.png
US-2021342660-A1,Circuit And Method of Improving Energy Harvesting for Radio Frequency Identification (RFID) Tag with Temperature Sensor ,"Excelio Technology (Shenzhen) Co., Ltd.",Patrick Bian Wu,2019-01-17,2021-07-15,2021-11-04,,https://patents.google.com/patent/US20210342660A1/en,https://patentimages.storage.googleapis.com/c4/f0/7a/86de509f796389/US20210342660A1-20211104-D00000.png
US-2020217914-A1,Magnetic resonance imaging with deep neutral networks ,"Shanghai Neusoft Medical Technology Co., Ltd.","Feng Huang, Dong Han, Ling Mei",2019-01-08,2020-01-07,2020-07-09,,https://patents.google.com/patent/US20200217914A1/en,https://patentimages.storage.googleapis.com/e4/51/b0/3bb34bcbb797fd/US20200217914A1-20200709-D00000.png
US-2020221221-A1,Waterproof headphone structure ,"Harman International Industries, Incorporated","Isword Zhang, Cary Zou",2019-01-04,2019-10-18,2020-07-09,,https://patents.google.com/patent/US20200221221A1/en,https://patentimages.storage.googleapis.com/d0/79/a0/ea94e5a9efb043/US20200221221A1-20200709-D00000.png
US-2021234196-A1,Electrolytic solution and electrochemical device ,Ningde Amperex Technology Limited,"Xiexue PENG, Jiqiong Liu, Junfei LIU, Chao Tang",2019-01-25,2020-01-20,2021-07-29,,https://patents.google.com/patent/US20210234196A1/en,
US-2020228688-A1,Electronic apparatus ,Lenovo (Singapore) Pte. Ltd.,"Shigehiro Horiuchi, Takehito Yamauchi, Shinichi Kubota, Satoshi Hosoya",2019-01-11,2019-06-24,2020-07-16,,https://patents.google.com/patent/US20200228688A1/en,https://patentimages.storage.googleapis.com/9e/27/ff/60240d5f2027bc/US20200228688A1-20200716-D00000.png
