Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,eigencentrality
B63H16,B63H16,,48,16671.591759,5,0.373551,0.395742,0.000822,5,0.308973,334,0.046586
B63H2016,B63H2016,,25,4123.175987,5,0.368953,0.388508,0.000054,5,0.637681,176,0.037278
B63J99,B63J99,,18,2676.252014,5,0.365856,0.38425,0,5,0.970588,132,0.030829
E05B37,E05B37,,21,10980.56778,5,0.337438,0.353263,0.00002,36,0.557895,106,0.023069
F25D2331,F25D2331,,18,4469.570847,5,0.331891,0.346033,0.000054,14,0.544118,74,0.013182
F25D31,F25D31,,24,6476.148651,5,0.34571,0.363986,0.00032,14,0.375494,95,0.024545
G07C9,G07C9,,220,242099.348606,4,0.443007,0.477103,0.00492,36,0.233421,5572,0.449034
A47G25,A47G25,,3,2708.487976,6,0.238039,0.242596,0,14,1,1,0.000204
A47B55,A47B55,,5,647.474884,5,0.314452,0.323849,0,14,1,6,0.003277
A47B87,A47B87,,9,2012.256241,5,0.326218,0.340085,0,14,0.964286,27,0.011212
A47B95,A47B95,,5,647.474884,5,0.314452,0.323849,0,14,1,6,0.003277
E05G1,E05G1,,46,22674.635239,5,0.372427,0.395447,0.000389,15,0.377778,374,0.075324
A47J43,A47J43,,50,21605.069824,5,0.358203,0.378524,0.001667,6,0.344388,405,0.044554
B25J5,B25J5,,88,25169.686966,5,0.398836,0.42613,0.00083,0,0.315958,1182,0.167869
E05F15,E05F15,,141,93863.028038,5,0.428364,0.458155,0.001963,15,0.250668,2439,0.282201
E05Y2201,E05Y2201,,81,34711.231506,5,0.407262,0.433303,0.000502,15,0.324367,1025,0.152985
F25D11,F25D11,,38,8136.703232,5,0.376411,0.398636,0.000174,6,0.445946,297,0.064534
F25D2400,F25D2400,,28,12899.341904,5,0.348505,0.367014,0.000334,6,0.433048,152,0.035281
G07F9,G07F9,,68,22582.217842,4,0.40584,0.430288,0.000686,36,0.376753,833,0.147593
Y04S20,Y04S20,,138,84317.626293,4,0.432957,0.461396,0.001071,0,0.324818,3026,0.325675
A47B81,A47B81,,6,1074.584602,6,0.310532,0.321416,0.000002,3,0.6,6,0.004959
A47F7,A47F7,,9,2815.699539,6,0.305244,0.317036,0.000009,3,0.642857,18,0.005991
G08B1,G08B1,,37,6927.277679,5,0.366625,0.388169,0.000161,36,0.41746,263,0.082296
A47B83,A47B83,,7,1336.533829,6,0.288443,0.298193,0,15,1,15,0.001814
A47C15,A47C15,,22,4239.80928,5,0.33508,0.351221,0.000146,14,0.642857,135,0.016822
E04B1,E04B1,,42,24455.793587,5,0.359782,0.380757,0.001079,15,0.24878,204,0.04033
E04H1,E04H1,,48,14946.39389,5,0.371202,0.392705,0.001353,15,0.288622,312,0.057051
E04H3,E04H3,,7,1336.533829,6,0.288443,0.298193,0,15,1,15,0.001814
A47C1,A47C1,,28,6952.148666,5,0.373152,0.393869,0.000097,14,0.521368,183,0.04781
A47C3,A47C3,,25,5311.153778,5,0.354038,0.37298,0.000189,14,0.525362,145,0.025315
A47C31,A47C31,,25,10866.680038,5,0.367292,0.386275,0.000088,7,0.485507,134,0.040317
A63B67,A63B67,,42,21322.031815,5,0.364362,0.387109,0.00027,3,0.37439,307,0.043842
A63G25,A63G25,,21,4314.72142,5,0.337231,0.354136,0.000005,14,0.752632,143,0.025427
A63G31,A63G31,,27,6818.671417,5,0.35921,0.380053,0.000172,14,0.470769,153,0.035142
A63G33,A63G33,,22,4810.707062,5,0.338093,0.355244,0.000026,14,0.690476,145,0.025575
B60K2026,B60K2026,,26,15264.272964,5,0.337438,0.354466,0.000013,14,0.563333,169,0.027572
B60K26,B60K26,,48,16820.899895,5,0.358672,0.380279,0.000092,14,0.407956,441,0.069192
B62D61,B62D61,,27,8461.708435,5,0.348759,0.367749,0.000053,14,0.52,169,0.029788
E01F13,E01F13,,9,6249.089874,5,0.344499,0.360758,0.000002,0,0.607143,17,0.024545
F41B9,F41B9,,17,3090.133316,5,0.331146,0.346429,0,14,0.983333,118,0.015229
